Y;surface;tourney_date;Opponents;O_hand;O_ht;O_age;O_rank
1;Grass;20160606;Horacio Zeballos;L;188;31.1101984942;92
1;Clay;20160711;Jan Lennard Struff;R;193;26.212183436;86
1;Hard;20160919;Alexander Bublik;R;196;19.2580424367;323
1;Hard;20161017;Mikhail Kukushkin;R;183;28.810403833;90
1;Hard;20161017;Viktor Troicki;R;193;30.6830937714;28
1;Hard;20170102;Thiago Monteiro;L;183;22.5927446954;82
1;Hard;20170102;Yen Hsun Lu;R;180;33.3880903491;64
1;Hard;20170102;Jozef Kovalik;R;183;24.1615331964;117
1;Hard;20170102;Dudi Sela;R;175;31.7481177276;96
1;Hard;20170203;Nenad Zimonjic;R;190;40.6570841889;
1;Hard;20170206;Tobias Kamke;R;180;30.7159479808;123
1;Hard;20170206;Fernando Verdasco;L;188;33.2292950034;40
1;Hard;20170220;Benoit Paire;R;196;27.7891854894;41
1;Hard;20170220;Jan Lennard Struff;R;193;26.8254620123;62
1;Hard;20170227;Omar Awadhy;R;;35.1156741958;
1;Grass;20170612;Robin Haase;R;190;30.1848049281;43
1;Grass;20170612;Thanasi Kokkinakis;R;196;21.1718001369;993
1;Grass;20170619;Nicolas Mahut;R;190;35.40862423;77
1;Grass;20170619;Thanasi Kokkinakis;R;196;21.1909650924;698
1;Grass;20170626;Sam Querrey;R;198;29.7193702943;28
1;Grass;20170626;Robin Haase;R;190;30.2231348392;38
1;Grass;20170626;Steve Johnson;R;188;27.5044490075;31
1;Grass;20170703;Stan Wawrinka;R;183;32.2655715264;3
1;Hard;20170731;Reilly Opelka;R;211;19.923340178;130
1;Hard;20170731;Steve Johnson;R;188;27.6002737851;34
1;Hard;20170731;Grigor Dimitrov;R;188;26.2094455852;11
1;Hard;20171016;Andrey Kuznetsov;R;185;26.6475017112;95
1;Hard;20171016;Pablo Carreno Busta;R;188;26.264202601;11
1;Hard;20171106;Borna Coric;R;188;20.9582477755;51
1;Hard;20171106;Karen Khachanov;R;198;21.4428473648;44
1;Hard;20171106;Jared Donaldson;R;188;21.0568104038;54
1;Hard;20180108;Philipp Kohlschreiber;R;178;34.2313483915;29
1;Hard;20180108;Jared Donaldson;R;188;21.2484599589;55
1;Hard;20180108;Paolo Lorenzi;R;183;36.0657084189;45
1;Hard;20180108;Fabio Fognini;R;178;30.6283367556;27
1;Hard;20180108;Alex De Minaur;R;183;18.8911704312;167
1;Hard;20180115;Thanasi Kokkinakis;R;196;21.7659137577;216
1;Hard;20180212;Gilles Muller;L;193;34.765229295;28
1;Hard;20180212;Pierre Hugues Herbert;R;188;26.9075975359;80
1;Hard;20180305;Steve Johnson;R;188;28.1943874059;52
1;Hard;20180305;Matteo Berrettini;R;196;21.8945927447;108
1;Hard;20180319;Stefanos Tsitsipas;R;193;19.6002737851;70
1;Hard;20180406;Sebastian Ofner;R;;21.8891170431;141
1;Clay;20180416;Marton Fucsovics;R;188;26.1848049281;59
1;Grass;20180611;Yuki Bhambri;R;183;25.9356605065;84
1;Grass;20180618;Jack Sock;R;185;25.7303216975;14
1;Grass;20180702;Borna Coric;R;188;21.6290212183;20
